
TimeEdit,Universiti Malaya
"WIE3012, ANALITIK DAN KEPINTARAN PERNIAGAAN,WIE3007, PERLOMBONGAN DAN PERGUDANGAN DATA,WIE3010, VISUALISASI DATA,GQO0064, PENGENALAN KEPADA TUMBUH-TUMBUHAN PERUBATAN,WIA3003, PROJEK AKADEMIK II,GKK1001, KHIDMAT KOMUNITI",07/10/2024 - 15/02/2025 Mon-Fri,
Begin date,Begin time,End date,End time,Module,Module Offering,Activity,Activity Type (exam),Room 
07/10/2024,10:00,07/10/2024,11:00,VISUALISASI DATA,WIE3010/2024/S1/1,TUTORIAL,,MAKMAL MIKRO 4 FSKTM
07/10/2024,11:00,07/10/2024,12:00,VISUALISASI DATA,"WIE3010/2024/S1/1M,WIE3010/2024/S1/2",TUTORIAL,,MAKMAL MIKRO 4 FSKTM
08/10/2024,16:00,08/10/2024,18:00,VISUALISASI DATA,"WIE3010/2024/S1/1,WIE3010/2024/S1/1M,WIE3010/2024/S1/2",LECTURE,,BILIK KULIAH FSKTM
09/10/2024,14:00,09/10/2024,15:00,PERLOMBONGAN DAN PERGUDANGAN DATA,WIE3007/2024/S1/1,TUTORIAL,,MAKMAL MIKRO 3 FSKTM
10/10/2024,12:00,10/10/2024,14:00,PERLOMBONGAN DAN PERGUDANGAN DATA,WIE3007/2024/S1/1,LECTURE,,BILIK KULIAH FSKTM
10/10/2024,16:00,10/10/2024,17:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/1,WIE3012/2024/S1/1",TUTORIAL,,BILIK KULIAH FSKTM
10/10/2024,17:00,10/10/2024,18:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/2,WIE3012/2024/S1/2",TUTORIAL,,BILIK KULIAH FSKTM
10/10/2024,17:00,10/10/2024,19:00,KHIDMAT KOMUNITI,GKK1001/2024/S1/1,ONLINE,,ONLINE LECTURE
11/10/2024,10:00,11/10/2024,12:00,PENGENALAN KEPADA TUMBUH-TUMBUHAN PERUBATAN,GQO0064/2024/S1/1,ONLINE,,ONLINE LECTURE
11/10/2024,15:00,11/10/2024,17:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/1,WIE3008/2024/S1/2,WIE3012/2024/S1/1,WIE3012/2024/S1/2",LECTURE,,"BILIK KULIAH FSKTM,DEWAN KULIAH 2 FSKTM"
14/10/2024,10:00,14/10/2024,11:00,VISUALISASI DATA,WIE3010/2024/S1/1,TUTORIAL,,MAKMAL MIKRO 4 FSKTM
14/10/2024,11:00,14/10/2024,12:00,VISUALISASI DATA,"WIE3010/2024/S1/1M,WIE3010/2024/S1/2",TUTORIAL,,MAKMAL MIKRO 4 FSKTM
15/10/2024,16:00,15/10/2024,18:00,VISUALISASI DATA,"WIE3010/2024/S1/1,WIE3010/2024/S1/1M,WIE3010/2024/S1/2",LECTURE,,BILIK KULIAH FSKTM
16/10/2024,14:00,16/10/2024,15:00,PERLOMBONGAN DAN PERGUDANGAN DATA,WIE3007/2024/S1/1,TUTORIAL,,MAKMAL MIKRO 3 FSKTM
17/10/2024,12:00,17/10/2024,14:00,PERLOMBONGAN DAN PERGUDANGAN DATA,WIE3007/2024/S1/1,LECTURE,,BILIK KULIAH FSKTM
17/10/2024,16:00,17/10/2024,17:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/1,WIE3012/2024/S1/1",TUTORIAL,,BILIK KULIAH FSKTM
17/10/2024,17:00,17/10/2024,18:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/2,WIE3012/2024/S1/2",TUTORIAL,,BILIK KULIAH FSKTM
